id,name,country,status,reactor_type,reactor_model,construction_start,operational_from,operational_to,capacity,last_updated,source,iaeaid
583,Rostov-3 (Volgodonsk-3),Russia,Operational,PWR,VVER V-320,2009-09-15,2015-09-17,,950.0,2017-02-10T23:57:13+02:00,WNA/IAEA,506.0
320,Hongyanhe-3,China,Operational,PWR,CPR-1000,2009-03-07,2015-08-16,,1061.0,2017-09-25T03:20:36+03:00,WNA/IAEA/GEO,906.0
621,Shin-Wolsong-2,South Korea,Operational,PWR,OPR-1000,2008-09-23,2015-07-24,,950.0,2022-04-21T20:26:19+03:00,WNA/IAEA,884.0
475,Ningde-3,China,Operational,PWR,CPR-1000,2010-01-08,2015-06-10,,1018.0,2015-08-23T03:28:29+03:00,WNA/IAEA,923.0
747,Yangjiang-2,China,Operational,PWR,CPR-1000,2009-06-04,2015-06-05,,1000.0,2015-08-23T03:28:27+03:00,WNA/IAEA,882.0
210,Fangjiashan-2,China,Operational,PWR,CPR-1000,2009-07-17,2015-02-12,,1000.0,2015-05-24T04:51:56+03:00,WNA/IAEA,913.0
400,Kudankulam-1,India,Operational,PWR,VVER V-412,2002-03-31,2014-12-31,,917.0,2015-05-24T04:51:50+03:00,WNA/IAEA,852.0
209,Fangjiashan-1,China,Operational,PWR,CPR-1000,2008-12-26,2014-12-15,,1000.0,2015-05-24T04:51:56+03:00,WNA/IAEA,912.0
235,Fuqing-1,China,Operational,PWR,CNP-1000,2008-11-21,2014-11-22,,1000.0,2016-03-09T18:43:50+02:00,WNA/IAEA,914.0
319,Hongyanhe-2,China,Operational,PWR,CPR-1000,2008-03-28,2014-05-13,,1061.0,2015-08-23T03:28:28+03:00,WNA/IAEA/GEO,905.0
474,Ningde-2,China,Operational,PWR,CPR-1000,2008-11-12,2014-05-04,,1018.0,2015-05-24T04:51:56+03:00,WNA/IAEA,922.0
746,Yangjiang-1,China,Operational,PWR,CPR-1000,2008-12-16,2014-03-25,,1021.0,2015-05-24T04:51:52+03:00,WNA/IAEA,881.0
97,Bushehr-1,Iran,Operational,PWR,VVER V-446,1975-05-01,2013-09-23,,915.0,2015-05-24T04:51:26+03:00,WNA/IAEA,310.0
318,Hongyanhe-1,China,Operational,PWR,CPR-1000,2007-08-18,2013-06-06,,1061.0,2015-08-23T03:28:28+03:00,WNA/IAEA/GEO,904.0
473,Ningde-1,China,Operational,PWR,CPR-1000,2008-02-18,2013-04-15,,1018.0,2015-05-24T04:51:56+03:00,WNA/IAEA,921.0
361,Kalinin-4,Russia,Operational,PWR,VVER V-320,1986-08-01,2012-12-25,,950.0,2015-05-24T04:51:35+03:00,WNA/IAEA,496.0
620,Shin-Wolsong-1,South Korea,Operational,PWR,OPR-1000,2007-11-20,2012-07-31,,950.0,2022-04-21T20:26:19+03:00,WNA/IAEA,883.0
625,Shin-Kori-2,South Korea,Operational,PWR,OPR-1000,2007-06-05,2012-07-20,,995.0,2022-04-21T20:26:19+03:00,WNA/IAEA,865.0
559,Qinshan-2-4 (Qinshan 5),China,Operational,PWR,CNP-600,2007-01-28,2011-12-30,,619.0,2015-05-24T04:51:51+03:00,WNA/IAEA,877.0
438,Lingao-4,China,Operational,PWR,CPR-1000,2006-06-15,2011-08-07,,1007.0,2015-05-24T04:51:51+03:00,WNA/IAEA,875.0
130,CHASNUPP-2,Pakistan,Operational,PWR,CNP-300,2005-12-28,2011-05-18,,300.0,2021-06-07,WNA/IAEA,429.0
624,Shin-Kori-1,South Korea,Operational,PWR,OPR-1000,2006-06-16,2011-02-28,,998.0,2022-04-21T20:26:19+03:00,WNA/IAEA,864.0
351,Kaiga-4,India,Operational,PHWR,Horizontal Pressure Tube type,2002-05-10,2011-01-20,,202.0,2015-05-24T04:54:06+03:00,WNA/IAEA,292.0
582,Rostov-2 (Volgodonsk-2),Russia,Operational,PWR,VVER V-320,1983-05-01,2010-12-10,,950.0,2015-05-24T04:51:35+03:00,WNA/IAEA,505.0
558,Qinshan-2-3 (Qinshan 4),China,Operational,PWR,CNP-600,2006-04-28,2010-10-05,,619.0,2015-05-24T04:51:51+03:00,WNA/IAEA,876.0
437,Lingao-3,China,Operational,PWR,CPR-1000,2005-12-15,2010-09-15,,1007.0,2015-05-24T04:51:51+03:00,WNA/IAEA,878.0
570,Rajasthan-6,India,Operational,PHWR,Horizontal Pressure Tube type,2003-01-20,2010-03-31,,202.0,2015-05-24T04:54:06+03:00,WNA/IAEA,297.0
569,Rajasthan-5,India,Operational,PHWR,Horizontal Pressure Tube type,2002-09-18,2010-02-04,,202.0,2015-05-24T04:54:06+03:00,WNA/IAEA,295.0
698,Tomari-3,Japan,Suspended Operation,PWR,M (3-loop),2004-11-18,2009-12-22,,866.0,2022-09-24T22:33:57+03:00,WNA/IAEA,856.0
121,Cernavoda-2,Romania,Operational,PHWR,CANDU 6,1983-07-01,2007-11-01,,650.0,2019-06-02T20:18:16+03:00,WNA/IAEA,443.0
686,Tianwan-2,China,Operational,PWR,VVER V-428,2000-09-20,2007-08-16,,990.0,2015-05-24T04:51:50+03:00,WNA/IAEA,839.0
685,Tianwan-1,China,Operational,PWR,VVER V-428,1999-10-20,2007-05-17,,990.0,2015-05-24T04:51:50+03:00,WNA/IAEA,838.0
350,Kaiga-3,India,Operational,PHWR,Horizontal Pressure Tube type,2002-03-30,2007-05-06,,202.0,2015-05-24T04:54:05+03:00,WNA/IAEA,291.0
678,Tarapur-3,India,Operational,PHWR,Horizontal Pressure Tube Type,2000-05-12,2006-08-18,,502.0,2015-05-24T04:54:06+03:00,WNA/IAEA,300.0
588,Rivne-4,Ukraine,Operational,PWR,VVER V-320,1986-08-01,2006-04-06,,950.0,2023-08-28T08:51:40+03:00,WNA/IAEA,589.0
616,Shika-2,Japan,Suspended Operation,BWR,ABWR,2001-08-20,2006-03-15,,1304.0,2022-12-30T02:24:37+02:00,WNA/IAEA,842.0
378,Khmelnitski-2,Ukraine,Operational,PWR,VVER V-320,1985-02-01,2005-12-15,,950.0,2015-05-24T04:51:40+03:00,WNA/IAEA,574.0
306,Higashi Dori-1 (Tohoku),Japan,Suspended Operation,BWR,BWR-5,2000-11-07,2005-12-08,,1067.0,2022-12-30T02:21:21+02:00,WNA/IAEA,841.0
360,Kalinin-3,Russia,Operational,PWR,VVER V-320,1985-10-01,2005-11-08,,950.0,2015-05-24T04:51:34+03:00,WNA/IAEA,495.0
679,Tarapur-4,India,Operational,PHWR,Horizontal Pressure Tube Type,2000-03-08,2005-09-12,,502.0,2015-05-24T04:54:06+03:00,WNA/IAEA,301.0
297,Hanul-6,South Korea,Operational,PWR,OPR-1000,2000-09-29,2005-04-22,,950.0,2022-04-21T20:26:19+03:00,IAEA,406.0
284,Hamaoka-5,Japan,Suspended Operation,BWR,ABWR,2000-07-12,2005-01-18,,1325.0,2022-12-30T02:07:18+02:00,WNA/IAEA,843.0
296,Hanul-5,South Korea,Operational,PWR,OPR-1000,1999-10-01,2004-07-29,,950.0,2022-04-21T20:26:19+03:00,IAEA,404.0
557,Qinshan-2-2 (Qinshan 3),China,Operational,PWR,CNP-600,1997-04-01,2004-05-03,,610.0,2015-05-24T04:50:40+03:00,WNA/IAEA,66.0
561,Qinshan-3-2 (Qinshan 7),China,Operational,PHWR,CANDU 6,1998-09-25,2003-07-24,,677.0,2015-05-24T04:51:50+03:00,WNA/IAEA,840.0
681,Temelin-2,Czechia,Operational,PWR,VVER V-320,1987-02-01,2003-04-18,,1029.0,2021-02-14T03:47:53+02:00,WNA/IAEA,75.0
436,Lingao-2,China,Operational,PWR,M310,1997-11-28,2003-01-08,,950.0,2015-05-24T04:50:40+03:00,WNA/IAEA,68.0
560,Qinshan-3-1 (Qinshan 6),China,Operational,PHWR,CANDU 6,1998-06-08,2002-12-31,,677.0,2015-05-24T04:50:40+03:00,WNA/IAEA,69.0
291,Hanbit-6,South Korea,Operational,PWR,OPR-1000,1997-11-20,2002-12-24,,993.0,2021-04-20T02:47:37+03:00,IAEA,403.0
680,Temelin-1,Czechia,Operational,PWR,VVER V-320,1987-02-01,2002-06-10,,1027.0,2021-02-14T03:47:53+02:00,WNA/IAEA,74.0
435,Lingao-1,China,Operational,PWR,M310,1997-05-15,2002-05-28,,950.0,2015-05-24T04:50:40+03:00,WNA/IAEA,67.0
290,Hanbit-5,South Korea,Operational,PWR,OPR-1000,1997-06-29,2002-05-21,,950.0,2023-08-28T08:01:45+03:00,IAEA,402.0
150,Civaux-2,France,Operational,PWR,N4 REP 1450,1991-04-01,2002-04-23,,1450.0,2015-05-24T04:51:07+03:00,WNA/IAEA,228.0
556,Qinshan-2-1 (Qinshan 2),China,Operational,PWR,CNP-600,1996-06-02,2002-04-15,,610.0,2015-05-24T04:50:40+03:00,WNA/IAEA,65.0
509,Onagawa-3,Japan,Suspended Operation,BWR,BWR-5,1998-01-23,2002-01-30,,796.0,2022-12-30T02:21:21+02:00,WNA/IAEA,385.0
149,Civaux-1,France,Operational,PWR,N4 REP 1450,1988-10-15,2002-01-29,,1450.0,2015-05-24T04:51:07+03:00,WNA/IAEA,227.0
581,Rostov-1 (Volgodonsk-1),Russia,Operational,PWR,VVER V-320,1981-09-01,2001-12-25,,950.0,2015-05-24T04:51:35+03:00,WNA/IAEA,502.0
13,Angra-2,Brazil,Operational,PWR,PRE KONVOI,1976-01-01,2001-02-01,,1245.0,2015-05-24T04:50:19+03:00,WNA/IAEA,25.0
568,Rajasthan-4,India,Operational,PHWR,Horizontal Pressure Tube type,1990-10-01,2000-12-23,,202.0,2015-05-24T04:54:05+03:00,WNA/IAEA,288.0
348,Kaiga-1,India,Operational,PHWR,Horizontal Pressure Tube type,1989-09-01,2000-11-16,,202.0,2015-05-24T04:54:05+03:00,WNA/IAEA,289.0
